Name,Price,Photo
Country Chicken(with skin),150/kg,https://img2.exportersindia.com/product_images/bc-full/2019/6/6311954/country-chicken-meat-1560579735-4953513.jpeg
Chicken Curry Cut - Small Pieces,80/kg,https://dao54xqhg9jfa.cloudfront.net/OMS-ProductMerchantdising/a07ba83c-f94c-f431-bdd2-128c780b493c/original/kkkkkkkkkk.jpg
Chicken Breast - Boneless,80/kg,https://dao54xqhg9jfa.cloudfront.net/OMS-ProductMerchantdising/d49aac35-6784-73e1-93ff-ac738c240f15/original/Chicken-Breast-Boneless-(3-4-Pieces)-Hero-Shot_(1).jpg
Fish Red Snapper(sankara),110/kg,https://www.dotori.in/public/thumbs/products/Red_Snapper_0_600.jpg
Seer / King fish (Vanjaram),350/kg,https://5.imimg.com/data5/AK/NH/GLADMIN-7351739/seer-fish-steaks-sea-fish-500x500.png
Mutton (Goat meat),600/kg,https://i0.wp.com/indofoody.com/wp-content/uploads/2020/11/wp1903760-meat-wallpapers.jpg?fit=2338%2C1553&ssl=1
